slug,title,subtitle,description,detail_description,badge,price,color,battery,weight,latency,accent,is_active
arc-eclipse,Arc Eclipse,Adaptive ANC untuk soundscape kota dengan driver hybrid yang tetap bersih.,ANC hybrid dengan bass cinematic dan transparansi adaptif.,"Disetel untuk pop modern dan cinematic bass dengan noise floor rendah. Filter mikro mengurangi desisan sehingga detail vokal tidak tertutup.

Mode transparansi mengikuti suara sekitar tanpa distorsi, ditambah tuning DSP yang menjaga imaging tetap stabil saat commuting.",Urban Wireless,289,Graphite + Neon,42h case / 8h buds,4.6g per bud,35ms low-latency mode,#7ad5ff,true
noir-pulse,Noir Pulse,"Bass padat, mid jernih, dan ANC generasi kedua untuk perjalanan jauh.",ANC v2 dengan bass padat dan EQ adaptif untuk perjalanan.,"Shield akustik dua lapis menjaga nada vokal tetap natural. Adaptive EQ memindai profil telinga dan menyesuaikan kurva secara real time.

Case menggunakan komposit matte dengan engsel low-resistance sehingga mudah dibuka tutup, plus indikator LED multi-level untuk baterai.",ANC v2,259,Matte Black,38h case / 7.5h buds,4.8g per bud,Gaming mode 45ms,#9c8bff,true
feather-air,Feather Air,Ultra ringkas dengan venting seimbang untuk vokal yang terasa dekat.,Earbuds ringan dengan venting seimbang dan vokal dekat.,"Menggunakan pipa akustik serat karbon untuk menahan resonansi. Port depan-belakang dirancang supaya tekanan telinga tetap nyaman saat dipakai lama.

Driver dilapis polymer ringan sehingga treble tetap halus. Mikrofon beamforming mengurangi noise kipas dan keyboard untuk call indoor.",Feather Series,219,Pearl Silver,34h case / 7h buds,3.9g per bud,60ms adaptive,#79f2c0,true
studio-graphite,Studio Graphite,Headphone closed-back dengan stage lapang untuk mixing mobile.,Closed-back lapang untuk mixing mobile dengan driver graphene.,"Driver 45mm berlapis graphene menjaga transient tetap cepat dan decay bass terkendali. Clamping force ringan untuk sesi editing panjang.

Tuning mid disetel netral agar cocok dipakai referensi. Kabel detachable 3.5mm disertai mode passthrough tanpa lag ketika dipakai di interface.",Studio Ready,349,Graphite Steel,58h continuous,262g,27ms wired / 48ms BT,#ff9f7d,true
halo-muse,Halo Muse,Look futuristik dengan tuning hangat untuk vokal dan gitar.,Headphone futuristik bernuansa hangat untuk vokal dan gitar.,"Dual beam mic memisahkan suara Anda dari kebisingan angin. Bantalan busa memori berlapis kain breathable supaya tidak panas.

EQ bawaan punya tiga preset: vocal bright, band balanced, dan mellow. Tombol fisik di cup kanan mendukung kontrol playback tanpa jeda.",Creator Line,329,Moonlight White,52h continuous,249g,32ms low-latency,#ffd479,true
sonic-drift,Sonic Drift,Komposisi V-shape lembut untuk EDM tanpa menusuk telinga.,Headphone V-shape lembut untuk EDM tanpa sibilance.,"Bass shelf yang dikontrol DSP menjaga sub tetap presisi, sementara high-rolloff halus menahan sibilance. Cocok untuk house, pop, dan film.

Cangkang aluminium dengan bantalan kulit sintetis empuk. Tersedia mode wired tanpa daya untuk jaga latency ketika dipakai live monitoring.",Motion Audio,279,Frosted Silver,48h continuous,238g,40ms BT / 20ms wired,#8ef3ff,true
nightdrive,Nightdrive,Sound signature gelap yang nikmat untuk jazz dan lo-fi.,Signature gelap nyaman untuk jazz/lo-fi dengan cup suede.,"Cupping mikro-suede mengurangi refleksi internal, memberi nuansa warm tanpa kehilangan tekstur bass. Stage tetap fokus di tengah.

Driver biocellulose 42mm menghadirkan decay yang natural. Headband baja lentur memastikan tekanan merata sehingga nyaman dipakai lama.",Night Tuning,269,Obsidian Black,46h continuous,242g,38ms BT,#6bd8ff,true
analog-bloom,Analog Bloom,Respon mid tebal dengan sentuhan analog untuk synthwave.,Stage lebar ala analog untuk synthwave dengan mid tebal.,"Headband metal fleksibel dibalut tekstil breathable. Port mikro di belakang driver menambah lebar stage tanpa membuat bass bocor.

Suara tuning U-shape ringan: sub bass terkendali, mid forward, treble lembut. Cocok untuk musik retro dan scoring dengan synth pad.",Analog Stage,299,Rose Gold / Black,50h continuous,255g,36ms BT,#f7a8d7,true
circuit-tide,Circuit Tide,Earbuds airy dengan focus pada kejernihan mid-high.,Open-fit airy fokus kejernihan mid-high.,"Ventilasi depan-belakang mengurangi tekanan telinga, cocok buat sesi belajar panjang dan monitor ringan. Vokal terdengar dekat dan jernih.

Case ringkas dengan material matte anti sidik jari. Mode low-latency aktif otomatis saat mendeteksi game atau video call.",Open Fit,199,Mist Blue,30h case / 6.5h buds,3.8g per bud,55ms adaptive,#72d8ff,true
velvet-range,Velvet Range,Closed-back empuk dengan suara hangat untuk vokal R&B.,Closed-back hangat untuk vokal R&B dengan port tuning.,"Port tuning di belakang cup memberi bass yang halus tanpa bleed ke mid. Tekstur vokal terdengar tebal dan intim.

Earpad memory foam berserat halus agar tidak gerah. Headband punya distribusi beban merata supaya nyaman saat rekaman malam.",Night Studio,319,Charcoal / Tan,54h continuous,251g,33ms BT,#ffb38a,true
pulse-mono,Pulse Mono,Tuning datar dengan sedikit sparkle untuk monitoring cepat.,Earbuds datar dengan sparkle tipis untuk monitoring cepat.,"Driver berlapis PEEK menjaga tekstur hi-hat tetap utuh. Tuning datar membantu mendengar perubahan EQ dengan jelas.

Mic beamforming mengunci suara Anda saat call. Case mendukung charge cepat 10 menit untuk 90 menit playback.",Monitor,239,Matte Black,36h case / 7h buds,4.4g per bud,45ms gaming,#9ad0ff,true
orbit-alloy,Orbit Alloy,Sound signature U-shape ringan untuk pop dan film.,Headphone U-shape ringan untuk pop/film dengan spatializer.,"Headband aluminium ringan dengan earcup berpori membuat telinga tetap adem. Spatializer bawaan menambah kedalaman saat menonton film.

Tuning memberi bass punchy tanpa menutupi dialog. Touch gesture di cup kanan bisa diatur ulang lewat aplikasi.",Cinematic,305,Alloy Grey,55h continuous,246g,30ms BT,#b8e5ff,true
neon-pulse,Neon Pulse,Earbud futuristik dengan lighting neon dan sound signature bass-heavy.,Earbud premium dengan RGB lighting dan driver dynamic untuk bass yang powerful.,"Driver dynamic 10mm dengan chamber akustik khusus menghasilkan bass yang deep dan controlled. RGB lighting dengan 16 juta warna bisa disesuaikan lewat aplikasi.

Case aluminium dengan wireless charging dan LED indicator untuk status baterai. Active noise cancellation adapif mengurangi noise hingga 35dB.",RGB Pro,279,Matte Black + RGB,40h case / 8h buds,4.2g per bud,25ms gaming mode,#00ffff,true
gaming-phantom,Gaming Phantom,7.1 surround sound gaming headset dengan RGB lighting dan mic detachable.,Gaming headset dengan spatial audio dan low-latency wireless connection.,"Driver 50mm dengan neodymium magnet menghasilkan soundstage yang luas dan bass yang deep. 7.1 surround sound virtual untuk positional gaming yang akurat.

RGB lighting dengan 16.8 juta warna bisa disesuaikan lewat software. Microphone detachable dengan noise cancellation untuk komunikasi jernih. Wireless 2.4GHz dengan latency 15ms untuk gaming kompetitif.",Gaming Elite,199,Black + RGB,30h wireless,280g,15ms ultra-low,#ff006e,true